會議基本資訊,,,,,,,,,,聯絡管道,,,,,,,,,,活動網站,,,備註,
簡稱,地區,全名,成立時間,最後舉辦年份,規模 (人),舉辦時間,天數,簡介,官網,Facebook,Twitter,Telegram,IRC,Mailing List/Email,G+,Blog,Youtube,Weibo,Medium,Meetup,KKtix,Accupass,,
JCCONF,北,Java Community Conference Taiwan,2014,2018,300~400,每年10~12月,1,提供更多機會讓開發人員間能夠互相交流。分享內容的程度從初階到進階，和 Java 程式語言、框架、JVM 及虛擬化相關技術、移動裝置、開發工具、開發流程...等等相關。,https://jcconf.tw/2018/,https://www.facebook.com/jcconf,https://twitter.com/taiwanjug,n/a,chat.freenode.net#jcconf,contact@jcconf.tw,n/a,n/a,https://www.youtube.com/channel/UCGPOVYPBsMlg4Cx4jmkpuTw,,,,https://twjug.kktix.cc/,,2017年和datacon合辦參與人數800+ Facebook group: https://www.facebook.com/groups/twjug/about/,
RubyConf,北,RubyConf Taiwan,2010,2018,300,舉辦時間不固定,1~3,由 Ruby Taiwan 社群主辦的、台灣唯⼀及最大的 Ruby 程式語言年度國際研討會，將於 2016 年舉辦第六屆。並邀請來自世界各地與台灣的知名開發者分享他們的經驗。,https://2018.rubyconf.tw/,https://www.facebook.com/rubyconftw/,https://twitter.com/rubyconftw,n/a,"irc.freenode.net, channel: #ruby-tw",contact@rubyconf.tw,https://plus.google.com/communities/116453014205704362331/stream/956181da-6eef-4bfe-b067-c1353006af29,n/a,https://www.youtube.com/channel/UCqw_z59yI24SivuD573FECA,,,,https://rubytaiwan.kktix.cc/,,,
RailsConf,北,Rails Pacific,2014,2016,100+,"2014(Oct), 2016(May)",2,台灣第一個以Ruby and Rails為主題的研討會，這樣的研討會使得台灣的Rails人才和實力得以被國際看見，彼此交流。,http://www.railspacific.com/,https://www.facebook.com/railspacific,https://twitter.com/railspacific,n/a,n/a,info@railspacific.com,n/a,n/a,https://www.youtube.com/channel/UCLioRClE90iKQMLaFf36aDQ,,,,n/a,,2014、2016各舉辦一屆，不是每年舉辦,
Laravel Conf,北,Laravel Conf 台灣,2017,2018,300~400,每年7月,1,Laravel 的開發者大會，與大家分享 Laravel 的成功經驗、讓各界朋友都能有機會在場域中相互交流，增加不同的視角與感想。,https://laravelconf.tw/zh-TW,https://www.facebook.com/laravelconftw,https://twitter.com/laravelconftw,https://t.me/laravelconf,n/a,staff@laravelconf.tw,n/a,n/a,https://www.youtube.com/c/laravelconftaiwan,,https://medium.com/laraveldojo/tagged/laravelconf-taiwan,,https://laravel-dojo.kktix.cc/,,,
DataCon,北,台灣資料工程年會,2009,2018,100~200,每年9~12月,1,由數個社群成員發起的 Hadoop、Spark、Flink 及大數據相關領域研討會，希望透過年會的交流，在台灣讓更多開發者交流技術。,http://2018.datacon.tw/,https://www.facebook.com/datacon.tw/,n/a,n/a,http://2017.datacon.tw/irc/,n/a,n/a,n/a,n/a,,,,n/a,https://hadooptw.accupass.com/org/detail/r/573122165192528/2/0,2018未有IRC; Taiwan Hadoop User Group: https://www.facebook.com/groups/hadoop.tw/about/,
TDOHCONF,南,TDOH Conf,2016,2018,400+,每年9~12月,1,全台第一個專為學生設計的資安研討會，難得不是辦在天龍國的資安研討會，研討會議程類型與內容包括技術/傳承/工具教授/資安生涯/網軍研析/社群互動/廠商展示等。,https://tdoh-conf.online/,https://www.facebook.com/tdohacker/?ref=br_rs,n/a,n/a,n/a,n/a,n/a,https://blog.tdohacker.org/,n/a,,,https://tdoh-conf.online/,https://tdohackerparty.kktix.cc/events/tdoh-conf-2018,,FB Group: https://www.facebook.com/groups/TDOHacker/,
g0v Summit,北,g0v Summit,2014,2018,500+,5~12月,2,從開放資料出發，透過開源社群促進開放政府的可能。改變需要更長遠的跨界交流，因此我們開始籌備 g0v.tw Summit 零時政府年會，希望從多元面向探討運用科技與開源精神改變社會的可能。,https://summit.g0v.tw,https://www.facebook.com/events/272549683528641/,https://twitter.com/g0vtw?lang=en,n/a,n/a,g0v-summit-committee-2018@googlegroups.com,n/a,n/a,n/a,,,https://summit.g0v.tw/2018/,https://g0v-summit2018.kktix.cc/events/conf,,兩年舉辦一次,
IGDA,北,International Game Developers Assiciation (國際遊戲開發者協會),,,,,,,http://igda.tw,https://www.facebook.com/groups/igda.taiwan/about/,https://twitter.com/IGDA_Taiwan,n/a,n/a,jslin@igda.tw,https://plus.google.com/communities/114159890293800695279,n/a,https://www.youtube.com/user/IGDATaiwan,,,,https://igda-tw.kktix.cc/,,"UStream: http://www.ustream.tv/channel/igda-taiwan, Plurk: https://www.plurk.com/IGDA_TW; facebook group: https://www.facebook.com/groups/igda.taiwan/about/",備註二：從kktix看過去至今活動紀錄 https://igda-tw.kktix.cc/
DataSci,北,台灣資料科學年會,2014,2017,1000+,每年7~11月,2,宗旨為推廣資料科學的認知、技術及應用，議題包含資料科學的各個層面，例如資料探勘、機器學習、資料處理及計算、資料視覺化及各領域裡的資料分析應用等,https://datasci.tw/,https://www.facebook.com/twaiconf/,n/a,n/a,n/a,secretary@datasci.tw,n/a,n/a,https://www.youtube.com/channel/UC6K67PW5o5YtNyQPJskNRCw,,,http://datasci.tw/?conf=DS,https://dsc.kktix.cc/,,SlideShare: https://www.slideshare.net/tw_dsconf,
黑客松,,,,,,,,,,,,,,,,,,,,,,,,
g0v 黑客松,北,零時政府黑客松,2012,2018,100,每兩個月一次,1,是一個推動資訊透明化的社群，致力於開發公民參與社會的資訊平台與工具，成果皆以自由軟體模式釋出。,https://g0v.tw/en-US/index.html,https://www.facebook.com/g0v.tw,https://twitter.com/g0vtw,n/a,https://hack.g0v.tw/irc,g0v-talks@googlegroups.com,https://plus.google.com/+g0vTW,http://g0vtw.logdown.com/,https://www.youtube.com/user/g0vTW,,https://medium.com/g0v-tw,,https://g0v-jothon.kktix.cc/,,Facebook Group: https://www.facebook.com/groups/387816094628136/,
生醫黑客松,南/北,臺北醫學大學生醫黑客松,2016,2017,100+,不一,3~4,生醫黑客松，一個擁有共同目標與激發創意的營隊，致力於跨界合作，產業涵蓋領域包括商學、社工、心理、電子、電機、設計、生醫等。一次與多方共同推動跨域商機和解決方案。,n/a,https://www.facebook.com/hfccbiohealthHackathon/,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,n/a,https://www.accupass.com/event/1601141627421398120308,兩屆的主辦與合作單位不一樣，但是都有跨域串連的特徵。,
同好聚會,,,,,,,,,,,,,,,,,,,,,,,,
同人誌 CWT,北/中/南,台灣同人誌販售會,2002,2018,"15,000+",半年一次大型活動,2,同人誌即賣會（又稱同人誌展銷會、同人誌即售會、同人誌販售會，簡稱同人展），是同人界的參與者直接販賣自己創作的同人誌，並相互交流的展覽會。,http://www.comicworld.com.tw/,https://www.facebook.com/cwtaiwan/,https://twitter.com/CW_TAIWAN,n/a,n/a,CWT@comicworld.com.tw,https://plus.google.com/116421480865787775986,http://cwtaiwan.blogspot.com/,n/a,https://www.weibo.com/u/3202977077?refer_flag=1001030102_&is_all=1,,,n/a,n/a,,
