分類,簡稱,活躍區域,成立時間,全名,社群簡介,官網,Facebook Fan Page,Facebook Group,Google Group,G+,Slack,Telegram Channel,IRC,Twitter,Blog,Youtube,常辦活動的人,備註,重要議題,討論串聯結,備註
技術社群,PyLadies Taiwan,台北,2013,PyLadies Taiwan,"PyLadies 是一個專屬於女生的 Python 愛好者聚會，專供喜歡 Python 的女生、想學 Python 的女生、想瞭解 Python 的女生，彼此交流、交換心得，聊天認識朋友的地方。
我們是一個國際性的 Python 交流組織，主要任務是希望透過分享、教育與會議等活動的方式幫助更多女生可以在 Python 社群中成為主動的參與者與領導者。
我們將會於每個月舉辦不同主題的活動，例如：初學者的入門、使用 Python 的應用與經驗分享，相關教學等主題。只要你是女孩並對 Python 有興趣，歡迎你來參加喔！",http://tw.pyladies.com/,"https://www.facebook.com/pyladies.tw/  (2,877)",https://www.facebook.com/groups/pyladies.taiwan/  (1328),https://groups.google.com/forum/#!forum/pyladies-taiwan (71),https://plus.google.com/+Pyladies-twAppspot (22),n/a,n/a,n/a,https://twitter.com/pyladiestw?lang=en (100),n/a,n/a,,https://medium.com/pyladies-taiwan (522),,,
技術社群,DjangoGirls Taipei,台北,2014,Django Girls Taipei,"Django Girls Taipei 源自於 Django Girls。它是一個非營利性的組織，包含由世界各地志願者所舉辦的各類活動。

活動用的程式原始碼放在 GitHub 上：github.com/DjangoGirls

如果你想在自己的城市舉辦 Django Girls，請聯繫：hello@djangogirls.org（英文）",https://djangogirls.org/taipei/,https://www.facebook.com/djangogirls.taipei/   (4),https://www.facebook.com/groups/djangogirls.taiwan/  (1531),n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,
技術社群,R-Ladies Taipei,台北,2014,R-Ladies Taipei,"R 是目前最紅的 Open Source 統計語言，而且，不只是對於傳統的統計檢定來說，或是，
對於新世代的 Machine Learning 和 Data Mining 的許多技術而言，R 都有很完整的套件支援。
因此，可以很快速的在R上面運用各種 Machine Learning 的技術來分析資料。

專屬於女生的 Python 愛好者聚會",https://rladiestaipei.github.io/R-Ladies-Taipei/,n/a,https://www.facebook.com/groups/RLadiesTaipei/ (1653),n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,"Rachael Pai, Chia-Yi Yen, Huai-Wen Mia Chang, 石小石, 徐紹婷, Kristen Chan, Li Cheng En, Ju-yin Tang, Mindy Huang, 黃昱璇, Ning Chen (fb group owners)",https://medium.com/r-ladies-taipei  (20),,,
技術社群,CLE,?,1998,Linux中文延伸套件計劃,"Linux中文延伸套件計畫（Chinese GNU/Linux Extensions簡稱CLE）是為Linux 中文化的一個社群計劃。早期CLE是 些建構在
Red Hat Linux上的中文相關程式RPM收集，對官方程式進行補足。隨後目標轉變成為建立國際化（i18n）和本地化（l10n）
的基礎架構來處理中文問題。隨著各方開發者的加入，成果也移植到各大Linux發行版本。",http://webarchive.loc.gov/all/20020914221055/http%3A//cle.linux.org.tw/,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2002年，CLE未再推出新版本。官方網站轉型為Linux相關新聞、論壇以及下載區，仍由張崇嚴（candyz）繼續維護。,,,
技術社群,CLDP,?,1997,Linux中文文件計劃,"90年代中期，Linux逐漸在台灣風行，不過仍是學生以及電腦高手的玩物。中文文件的缺乏，使得Linux的推廣與普及誠屬不易
。有鑑於此，當時任職於晶誠興業工程師的黃志偉，開始翻譯Linux文件計劃（LDP）上的HOWTOs文件，並透過BBS等論壇，
號召熱心志工加入。隨後黃志偉將此計劃命名為「Linux中文文件計劃」，英文簡稱CLDP。
",http://linux.org.tw/CLDP/OLD/,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2003年左右，已停止更新。由台灣中央研究院所提供的網站主機與頻寬，在專人與社群志工維護下，所有資料得以儲存至今。,,,
議題社群,Woman Who Code Taipei,台北,2016,Woman Who Code Taipei,是一個鼓勵妳/你開始寫程式的非營利組織！致力使女性族群在科技領域傑出。,https://www.womenwhocode.com/taipei,https://www.facebook.com/wwcodetaipei/   (1786),https://www.facebook.com/groups/wwcodetaipei/   (545),n/a,n/a,n/a,n/a,n/a,https://twitter.com/WWCodeTaipei (202),https://www.womenwhocode.com/blog,n/a,"Jane S., Alaina Percival, Joey Rosenberg (fb group owners)",,,,
愛好者社群,維基台北定聚,台北,2006,台灣維基人臺北定期聚會,維基人在台北舉辦的密集、小規模的維基聚會。 目前依活動性質分為兩個場次：工作雙週聚歡迎願投入社群經營者參與，將配合維基社群近況，進行發展策略、活動的發起與籌辦、站外推廣與社群聯盟等議題進行討論，或是進行維基人事訊息的交流；寫作月聚則以發表寫作成果、交換寫作心得，以及進行寫作訓練等方向為主。沒有限制資格，只要是對維基有興趣的人都能前來參加。,https://zh.wikipedia.org/wiki/Wikipedia:%E8%81%9A%E4%BC%9A/%E5%8F%B0%E7%81%A3%E7%B6%AD%E5%9F%BA%E4%BA%BA%E8%87%BA%E5%8C%97%E5%AE%9A%E6%9C%9F%E8%81%9A%E6%9C%83,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,https://zh.wikipedia.org/wiki/Wikipedia:%E8%81%9A%E4%BC%9A/%E5%8F%B0%E7%81%A3%E7%B6%AD%E5%9F%BA%E4%BA%BA%E8%87%BA%E5%8C%97%E5%AE%9A%E6%9C%9F%E8%81%9A%E6%9C%83,,,
愛好者社群,維基台中,台中,2011,維基媒體台中社群,維基人在台中活動的維基社群，經常在台中舉辦的密集、小規模的維基聚會，積極舉辦開放且自由的多元型態維基社群活動。社群經營目標不僅包括維基百科，其他維基媒體各項子計畫、Wiki農場、符合創用CC知識共享站點等亦包含在內。,https://goo.gl/AUb4XT,https://www.facebook.com/WikiTC/  (283),https://www.facebook.com/groups/wikipedia.core/  (84),n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,"Encore Melody  (fb),  Otbaby, Kmastertwo",,,,
愛好者社群,台北維基社群,,,,,,,,,,,,,,,,,,,,
技術社群,K.NET：高雄在地的 .NET 社群,高雄,2015,K.NET：高雄在地的 .NET 社群,"2015 年成立，為高雄在地的資訊科技類社群，主要以推廣微軟開發技術為主，
但基本上不僅限微軟技術，只要與軟體開發、雲端運算、資料庫、Web應用程式、資訊安全、軟體架構、軟體工程等議題有關的，都是我們的興趣領域。

K.NET 成立的宗旨是以分享知識與推廣技術為基礎，能讓南部在地的朋友能和台北同步，
得知技術的發展趨勢與如何應用，包含 Why 與 How。

除了每週三固定的常態聚會外，我們已經在高雄辦了 10 餘場次的實體活動，歡迎對軟體開發、雲端運算、
資料庫、Web應用程式、資訊安全、軟體架構、軟體工程等議題有涉獵有興趣的朋友參與我們的活動，若想要分享些什麼，
也可以在我們的活動中擔任講師，將想法和理念分享給更多人喔。

我們希望在高雄推廣更多有趣的技術。
我們希望以分享達到群體學習提升的目的。
我們背後沒有官方，只有愛。
我們自己有錢出錢，沒錢出力。
我們熱愛技術，但不盲從。
我們重視分享，但不造神。",http://knet.io/,https://www.facebook.com/k.net.io   (793),https://www.facebook.com/groups/1434719280160547/   (368),n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Ian Chen (fb),,,,
愛好者社群,MozTW,台北,1999,Mozilla 台灣社群,"MozTW 是台灣專屬於 Mozilla 相關資訊的社群，於 2004 年 9 月正式開張。
目前本社群維護 Mozilla 軟體的正體中文版本與語言套件 (Language Pack)，提供 WWW（下載、文件）與 討論區 等服務。
MozTW 本著推廣主力 - Firefox 易學常用的特性，自許為使用者接觸開放、自由文化的起點。我們持續辦理推廣自由文化的課程與活動，若有相關需求或合作提案，請連絡 社群連繫人。",https://moztw.org/,"https://www.facebook.com/MozillaTaiwan/   (37,442);    https://www.facebook.com/MozTW/   (3020)",https://www.facebook.com/groups/mocotw.coffee/   (71),https://groups.google.com/forum/#!forum/moztw-general  (549),https://plus.google.com/+MozillaTw  (1890),moztw.slack.com,Moz://TW   (699),irclog.moztw.org,https://twitter.com/moztw?lang=en   (626),https://medium.com/@moz2000tw   (508),https://www.youtube.com/user/MozillaTaiwan   (698),"Shih-Chiang, Hao-Kuang, Yuren (fb group); Peter Chen, Irvin Chen, Po-chiang Chao (fb fan page)",  ,,,
技術社群,MOSUT,台南,2012,台南開放原始碼系統使用者聚會 Meet Open Source Users in Tainan,"與開放原始碼的同好，一起在充滿陽光與古色古香的南台灣，關注以下項目 (包含但不限)： 
開放標準 / 開放規格 自由軟體 / 開放原始碼 開放硬體 初步想法 南台灣的 open source 
同好聚會 提供大學院校、公司團體，以及個人作技術討論交流的機會 使用或改善現有的軟體專案 增加與北部地區的社群互動",https://www.facebook.com/groups/238985912870824/?ref=casual_group_browse,n/a,https://www.facebook.com/groups/238985912870824/?ref=casual_group_browse   (2270),https://groups.google.com/forum/#!forum/MOSUT  (250),n/a,n/a,n/a,n/a,n/a,n/a,n/a,"William Du, Donjuan Chu, Wan Jen Huang, Xiao-Chun Chang, YiJheng Wang, Ijs Wang, Jim Huang  (fb)",沒有相關內容,,,
愛好者社群,OpenStreet Map Taiwan ,台北,2010,開放街圖台灣 OpenStreetMap Taiwan ,"OpenStreetMap (開放街圖，簡稱OSM) 是自由而且開源的全球地圖，於 2004 年由英國的 Steve Coast 發起，採用類似 Wiki 的協作編輯以及開放的授權與格式。 
OSM 的地圖由像你一樣的使用者繪製。因為來自一般的使用者，所以內容相當多元。資料的來源可能根據手持GPS裝置、航照圖以及其他自由內容，
甚至是單靠使用者由於對本地的認識而得。雖然不全是經過專業訓練的人士，但可以產生接近專業地理資訊水準的地圖。 
地圖以開放資料庫授權 (ODbL)方式授權，可以日常生活、導航、學術、甚至商業應用。",https://assanges.github.io/osmtw-ghpage/index.html,n/a,https://zh-tw.facebook.com/groups/OpenStreetMap.TW/   (4655),n/a,n/a,osm-tw.slack.com,https://t.me/joinchat/Aqu2IgnTuIidMfREdNmomQ   (18),n/a,n/a,n/a,https://www.youtube.com/user/OpenStreetMapTW   (91),https://goo.gl/x4Gdib; https://goo.gl/dPdt7K; https://goo.gl/rRsZgz,,內政部台灣通用電子地圖 比Google Map精細;  Google 地圖從產品的角度來說相當好，但逐年增加的收費，卻令不少人越來越吃不消; 原民傳統領域; 防災; 樹林生態(新加坡為例); 原住民/漢文化地名之爭; 無障礙通行; 台南文史資源地圖協作平台(活動資訊);  樹木消失問題;  大眾運輸路徑規劃; 登山; Pokémon GO 採用 OpenStreetMap 圖資; 地方常用圖資補充(台中); 自駕車所錄的資料（ROSBAG）收入開放地圖;  VR-Collapsed Weiguan Building; 中國免費地理資訊; 大臺北輸電網; crisis mapping (九寨溝強震); 幹線公車資訊; 中國不准台灣在地圖上被列國家; 地方層級(鄉鎮縣市)圖資匯入(台中);  單車地圖; 台電電線桿號與座標資料; 替代役男，與聖多美第一張「開放街圖」;  Pokémon GO; 台中市廢止圖資收費採開放資料; 登山步道開放資料格式標準化; gps 衛星大地測量;  百年地圖數位版免費下載; 容積獎勵搞出來的豪宅開放空間; Android 手機來做高精確定位; 登山; (登山)  內政部地政司全臺20公尺網格地形數值檔公開免費用; (登山)  全台20公尺網格數值地形模型資料; (救災) OpenStreetMap 與亞洲銀行合作協助跨國救災; AED地圖; (防災)地震地圖; 集乳室（母乳）地圖;  防災疏散避難地圖; 國土測繪中心公佈open data版WMS地圖; 飲水地圖; UAV; 防災; 集遊陳抗地點附近飲水供給點; DEM管制; 單車環島公路; 自動化處理 U-bike 租借點; 臺北市房價和 U-bike 站點密度相關性;  (登山)  三角點和控制點標示方法; (救災) 尼泊爾地震; 開放專案推廣; 救災團隊對於地圖的使用; 台北市練跑地點的廁所; (救災) 尼泊爾地震; (救災) 尼泊爾地震; 「網路智慧新臺灣政策白皮書」─智慧國土; 飲水地圖; 環台單車國道; OpenStreetMap 進香全程路線圖;  (登山) 三角點; 地區街道名稱更補(花蓮); 離線導航; 全台AED點; 導入作業及開放街圖(OSM)等電子商務跨領域的部分; 大臺南公車路網; 高雄的市道與區道的路線圖; 台中大里建物資訊; Google OSM化; 多路徑彙集點對導航的影響; 電桿編號; 北港朝天宮徒步進香謁祖路線; 服貿、貨貿、自經區社會衝擊調查團 mapping party; 國土測繪圖資網路地圖服務系統; 遊行路線; 豪宅公共空間地圖; 交通管制的狀況（aka 拒馬）;大台北公車路線全覽圖;  災難繪圖與OpenStreetMap; 日治時代嘉義地圖; (救災) 海燕颱風; ,https://www.facebook.com/groups/OpenStreetMap.TW/permalink/1930433887022071/   (9); https://www.facebook.com/groups/OpenStreetMap.TW/permalink/1856383417760452/   (6); https://www.facebook.com/groups/OpenStreetMap.TW/permalink/1803782069687254/ (16); https://www.facebook.com/groups/OpenStreetMap.TW/permalink/1846465972085530/  (5); https://www.facebook.com/groups/OpenStreetMap.TW/permalink/1718102001588595/  (11); https://www.facebook.com/groups/OpenStreetMap.TW/permalink/1711651095567019/  (7); https://www.facebook.com/groups/OpenStreetMap.TW/permalink/1715179798547482/  (5); https://www.facebook.com/groups/OpenStreetMap.TW/permalink/1715179798547482/  (51); https://www.facebook.com/groups/OpenStreetMap.TW/permalink/1674356025963193/  (5);  https://www.facebook.com/groups/OpenStreetMap.TW/permalink/1634710763261053/  (8); https://www.facebook.com/groups/OpenStreetMap.TW/permalink/1636474673084662/  (29); https://www.facebook.com/groups/OpenStreetMap.TW/permalink/1598606260204837/  (32); https://www.facebook.com/groups/OpenStreetMap.TW/permalink/1538854752846655/  (17); https://www.facebook.com/groups/OpenStreetMap.TW/permalink/1555242267874570/ (5); https://www.facebook.com/groups/OpenStreetMap.TW/permalink/1522773424454788/  (22); https://www.facebook.com/groups/OpenStreetMap.TW/permalink/1507804599285004/   (9); https://www.facebook.com/groups/OpenStreetMap.TW/permalink/1496754950389969/  (27);  https://www.facebook.com/groups/OpenStreetMap.TW/permalink/1491207090944755/  (7); https://www.facebook.com/groups/OpenStreetMap.TW/permalink/1443966085668856/ (5); https://www.facebook.com/groups/OpenStreetMap.TW/permalink/1402249463173852/  (8); https://www.facebook.com/groups/OpenStreetMap.TW/permalink/1341053469293452/  (20); https://www.facebook.com/groups/OpenStreetMap.TW/permalink/1335461623185970/  (6); https://www.facebook.com/groups/OpenStreetMap.TW/permalink/1292347827497350/ (5); https://www.facebook.com/groups/OpenStreetMap.TW/permalink/1249435845121882/  (6); https://www.facebook.com/groups/OpenStreetMap.TW/permalink/1247713871960746/  (8);  https://www.facebook.com/groups/OpenStreetMap.TW/permalink/1235591046506362/  (7); https://www.facebook.com/groups/OpenStreetMap.TW/permalink/1216740431724757/  (8); https://www.facebook.com/groups/OpenStreetMap.TW/permalink/1201299186602215/  (6); https://www.facebook.com/groups/OpenStreetMap.TW/permalink/1191244337607700/  (20); https://www.facebook.com/groups/OpenStreetMap.TW/permalink/1175712695827531/  (5);  https://www.facebook.com/groups/OpenStreetMap.TW/permalink/1167678109964323/  (5); https://www.facebook.com/groups/OpenStreetMap.TW/permalink/1153620278036773/  (9); https://www.facebook.com/groups/OpenStreetMap.TW/permalink/1138994746165993/  (35); https://www.facebook.com/groups/OpenStreetMap.TW/permalink/1143467249052076/  (6);  https://www.facebook.com/groups/OpenStreetMap.TW/permalink/1145976852134449/  (10); https://www.facebook.com/groups/OpenStreetMap.TW/permalink/1051267711605364/  (5); https://www.facebook.com/groups/OpenStreetMap.TW/permalink/988943201171149/  (5); https://www.facebook.com/groups/OpenStreetMap.TW/permalink/939134422818694/  (7); https://www.facebook.com/groups/OpenStreetMap.TW/permalink/944184488980354/  (12); https://www.facebook.com/groups/OpenStreetMap.TW/permalink/912089792189824/  (27);  https://www.facebook.com/groups/OpenStreetMap.TW/permalink/901671016565035/  (24);    https://www.facebook.com/groups/OpenStreetMap.TW/permalink/908230229242447/   (5); https://www.facebook.com/groups/OpenStreetMap.TW/permalink/905434749521995/  (10); https://www.facebook.com/groups/OpenStreetMap.TW/permalink/901641546567982/  (7);  https://www.facebook.com/groups/OpenStreetMap.TW/permalink/892671617464975/   (21); https://www.facebook.com/groups/OpenStreetMap.TW/permalink/871393052926165/   (6); https://www.facebook.com/groups/OpenStreetMap.TW/permalink/870554803009990/   (10); https://www.facebook.com/groups/OpenStreetMap.TW/permalink/868338079898329/  (8); https://www.facebook.com/groups/OpenStreetMap.TW/permalink/868136579918479/   (19); https://www.facebook.com/groups/OpenStreetMap.TW/permalink/858613500870787/   (8);  https://www.facebook.com/groups/OpenStreetMap.TW/permalink/857223154343155/  (13); https://www.facebook.com/groups/OpenStreetMap.TW/permalink/857801654285305/  (14);  https://www.facebook.com/groups/OpenStreetMap.TW/permalink/856472257751578/   (30);  https://www.facebook.com/groups/OpenStreetMap.TW/permalink/854412134624257/   (10); https://www.facebook.com/groups/OpenStreetMap.TW/permalink/854441551287982/  (11);  https://www.facebook.com/groups/OpenStreetMap.TW/permalink/853040524761418/  (5);  https://www.facebook.com/groups/OpenStreetMap.TW/permalink/846377722094365/  (7);  https://www.facebook.com/groups/OpenStreetMap.TW/permalink/807268146005323/  (8); https://www.facebook.com/groups/OpenStreetMap.TW/permalink/831552060243598/  (5); https://www.facebook.com/groups/OpenStreetMap.TW/permalink/802975809767890/  (6); https://www.facebook.com/groups/OpenStreetMap.TW/permalink/779508278781310/  (20); https://www.facebook.com/groups/OpenStreetMap.TW/permalink/779099892155482/  (6); https://www.facebook.com/groups/OpenStreetMap.TW/permalink/775190145879790/  (5); https://www.facebook.com/groups/OpenStreetMap.TW/permalink/761575857241219/  (9); https://www.facebook.com/groups/OpenStreetMap.TW/permalink/754904807908324/  (5); https://www.facebook.com/groups/OpenStreetMap.TW/permalink/748790875186384/  (10); https://www.facebook.com/groups/OpenStreetMap.TW/permalink/743140305751441/  (7); https://www.facebook.com/groups/OpenStreetMap.TW/permalink/734537039945101/  (5);  https://www.facebook.com/groups/OpenStreetMap.TW/permalink/723173434414795/  (7);  https://www.facebook.com/groups/OpenStreetMap.TW/permalink/721062574625881/  (7); https://www.openstreetmap.org/relation/3793834?fbclid=IwAR2kHs2vq0TxJOjYmvf6sh-yf1YvTq9EUL7DRb8obDVxhiPj9mXu87UiwoI  (10); https://www.facebook.com/groups/OpenStreetMap.TW/permalink/693111950754277/  (15);  https://www.facebook.com/groups/OpenStreetMap.TW/permalink/679540455444760/  (10); https://www.facebook.com/groups/OpenStreetMap.TW/permalink/677759362289536/  (19); https://www.facebook.com/groups/OpenStreetMap.TW/permalink/659280160804123/  (6);  https://www.facebook.com/groups/OpenStreetMap.TW/permalink/655485257850280/  (23); https://www.facebook.com/groups/OpenStreetMap.TW/permalink/648793695186103/  (26); https://www.facebook.com/groups/OpenStreetMap.TW/permalink/649440228454783/  (12); https://www.facebook.com/groups/OpenStreetMap.TW/permalink/647001598698646/  (28); https://www.facebook.com/groups/OpenStreetMap.TW/permalink/645559352176204/  (5); ,飲水地圖的討論串頻次也滿高的，但是都在推坑或聚會活動; 直接轉貼英文的議題或相關報導，回令率就會很低(偏誤可能); 一些議題（像是登山或防災）被討論的頻次也相對高，但是comment+share數字並不特別高，如果只納入前十名的話就會被消失; po文的形式或內容也會影響回應數量，例如針對議題尋求意見，得到的回應就會比較高; 有些留言與討論主題並無直接相關; 有沒有更具代表性能呈現社群面貌的方法？
技術社群,KSDG,高雄,2012,高雄軟體開發者社群,高雄軟體開發者知識交流社群,https://www.facebook.com/groups/KSDGroup/,https://www.facebook.com/KSDGr  (489),https://www.facebook.com/groups/KSDGroup/   (6017),n/a,n/a,ksdg.slack.com,n/a,n/a,n/a,n/a,https://www.youtube.com/channel/UCvu_hDfEr00VLJSfe0S_c9A   (105),https://goo.gl/LbeK8W; https://goo.gl/GDyCEe; https://goo.gl/smyvBG; https://goo.gl/GupiFv; https://goo.gl/A42fZF; https://goo.gl/gfy839;https://goo.gl/EVL9RU; https://goo.gl/4DCh9c,http://ksda.tw,,,
技術社群,Taipei Ethereum Meetup,台北,2016,Taipei Ethereum Meetup,專注在 Ethereum 技術理論、實作、與應用的討論社群，目前每月由社群參加者自願分享。 Ethereum 是具有智慧契約功能的區塊鏈平台。,https://www.facebook.com/groups/443751072484739/,https://www.facebook.com/eth.taipei/   (2476),https://www.facebook.com/groups/443751072484739/about/   (4106),n/a,n/a,Slack: http://bit.ly/252hNY0 invitation code: decentralized,n/a,n/a,https://twitter.com/eth_taipei   (295),https://medium.com/taipei-ethereum-meetup   (2400),https://www.youtube.com/channel/UCVmRAQeesq4TA3rdvbz-IkQ   (1357),https://goo.gl/Qtksb6; https://goo.gl/u5ASmo; https://goo.gl/LBdGDt;https://goo.gl/9EhVbC; https://goo.gl/TJwozy,,,,
